stamp;x;y;z
07/11/2020 12.42.21;-0,14061491;0,017044231;-0,099069595
07/11/2020 12.42.22;-0,2428803;0,03195793;-0,17150758
07/11/2020 12.42.22;-0,2514024;0,02876214;-0,15978967
07/11/2020 12.42.22;-0,2396845;0;-0,13954964
07/11/2020 12.42.22;0,28229508;0,0010652645;0,12250541
07/11/2020 12.42.22;0,30253512;0,002130529;0,15765914
07/11/2020 12.42.23;0,13422333;-0,0010652645;0,096939065
07/11/2020 12.42.23;-0,09267801;-0,0063915867;-0,033023197
07/11/2020 12.43.43;0,098004326;0,0063915867;0,024501082
07/11/2020 12.43.43;-0,1555286;0,014913702;-0,113983296
07/11/2020 12.43.43;-0,09267801;0,040480047;-0,08522116
07/11/2020 12.47.34;0,056459017;0,035153728;0,007456851
07/11/2020 12.47.34;0,025566347;0,002130529;0,0053263223
07/11/2020 12.47.34;0,022370555;-0,0053263223;0,035153728
07/11/2020 12.47.34;0,096939065;-0,011717909;0,070307456
07/11/2020 12.50.37;-0,15126756;-0,008522116;-0,06924219
07/11/2020 12.50.37;-0,10333065;0,007456851;-0,060720075
07/11/2020 12.50.37;-0,066046394;-0,002130529;-0,00958738
07/11/2020 12.50.37;0,056459017;-0,024501082;0,046871636
07/11/2020 12.50.37;0,14487597;-0,02876214;0,08948222
07/11/2020 12.50.38;0,10865697;-0,024501082;0,09054748
07/11/2020 12.50.38;-0,022370555;-0,02876214;0,051132694
07/11/2020 12.50.38;0,17896444;-0,014913702;0,11504856
07/11/2020 12.50.38;-0,022370555;-0,020240024;-0,010652645
07/11/2020 12.50.38;-0,24927188;-0,02130529;-0,11824436
07/11/2020 12.50.39;-0,4079963;-0,026631612;-0,21837921
07/11/2020 12.50.39;-0,1949434;0;-0,09374327
07/11/2020 12.50.39;-0,06711166;0,008522116;0
07/11/2020 12.54.53;0,034088463;-0,029827405;0,035153728
07/11/2020 12.54.53;-0,12996227;-0,041545313;-0,033023197
07/11/2020 12.54.53;-0,099069595;0,0010652645;-0,053263225
07/11/2020 12.54.53;-0,14168017;0,008522116;-0,09374327
07/11/2020 12.54.53;-0,17896444;-0,011717909;-0,07669904
07/11/2020 12.54.53;-0,02876214;-0,039414786;0,0053263223
07/11/2020 12.54.54;0,15659387;-0,04474111;0,10972224
07/11/2020 12.54.54;0,039414786;-0,049002163;0,08735169
07/11/2020 12.54.54;0,098004326;-0,020240024;0,12144015
07/11/2020 12.54.54;0,1736381;-0,03195793;0,10333065
07/11/2020 12.54.54;-0,17896444;-0,040480047;-0,07243799
