stamp;x;y;z
07/11/2020 12.29.53;-3,1280246;-5,2277393;7,2328835
07/11/2020 12.29.53;-3,6355953;-5,5820813;7,9032598
07/11/2020 12.29.53;-3,669114;-5,841852;7,1263413
07/11/2020 12.29.53;-3,5577838;-6,2141504;7,2711906
07/11/2020 12.29.53;-4,380192;-6,7013707;7,0066314
07/11/2020 12.29.53;-4,201824;-6,682217;7,0964136
07/11/2020 12.29.53;-4,939238;-5,117606;5,887342
07/11/2020 12.29.53;-4,7979803;-6,882133;6,218939
07/11/2020 12.29.53;-1,7429788;-6,92044;8,878897
07/11/2020 12.29.53;-3,107674;-6,811504;5,9807158
07/11/2020 12.29.53;-2,7030537;-6,528988;7,0245876
07/11/2020 12.29.53;-3,74094;-5,626374;6,7851677
07/11/2020 12.29.53;-3,8905778;-5,943606;7,2711906
07/11/2020 12.29.53;-3,8738184;-6,233304;7,6171527
07/11/2020 12.29.53;-3,7720647;-5,09127;6,6654577
07/11/2020 12.29.53;-4,5801077;-5,801151;8,136695
07/11/2020 12.29.53;-2,64679;-5,720945;5,6179943
07/11/2020 12.29.53;-4,84347;-7,2388687;8,60117
07/11/2020 12.29.53;-3,040636;-6,39611;5,876568
07/11/2020 12.29.53;-4,308366;-6,169858;8,094796
07/11/2020 12.29.53;-3,891775;-6,217742;6,9360023
07/11/2020 12.29.53;-3,6164417;-6,555324;7,123947
07/11/2020 12.29.53;-3,9636009;-6,399701;6,539762
07/11/2020 12.29.53;-4,003105;-7,1861963;6,9240313
07/11/2020 12.29.53;-3,867833;-6,3182983;6,7624226
07/11/2020 12.29.53;-3,8642416;-6,588843;7,141904
07/11/2020 12.29.53;-3,678691;-6,3326635;6,5457473
07/11/2020 12.29.53;-3,7684734;-7,120356;6,5098343
07/11/2020 12.29.53;-3,572149;-7,073669;6,457162
07/11/2020 12.29.53;-3,2836475;-7,145495;6,161478
07/11/2020 12.29.53;-3,3327289;-7,574057;5,865794
07/11/2020 12.29.53;-3,2369606;-7,7344685;5,7867856
07/11/2020 12.29.53;-3,1986535;-7,380127;5,5701103
07/11/2020 12.29.53;-3,5482068;-8,012196;6,265626
07/11/2020 12.29.53;-3,21661;-7,2807674;5,9531827
07/11/2020 12.29.53;-3,2920272;-6,7588315;5,8466406
07/11/2020 12.29.53;-3,490746;-7,302315;6,4846954
07/11/2020 12.29.53;-3,6487634;-7,098808;6,55293
07/11/2020 12.29.53;-3,7469256;-7,0425444;6,8689647
07/11/2020 12.29.53;-3,6715083;-6,8186865;6,775591
07/11/2020 12.29.53;-4,0761285;-6,613982;6,9946604
07/11/2020 12.29.53;-3,9839516;-5,9986725;7,023391
07/11/2020 12.29.53;-3,8606503;-5,7748146;7,1251445
07/11/2020 12.29.53;-3,9504328;-6,1770406;7,381324
07/11/2020 12.29.53;-3,8762126;-6,0405707;7,193379
07/11/2020 12.29.53;-3,726575;-6,145916;6,7971387
07/11/2020 12.29.53;-4,07134;-6,469133;6,977901
07/11/2020 12.29.53;-4,459201;-6,493075;6,7241154
07/11/2020 12.29.53;-4,5501804;-6,4224463;6,621165
07/11/2020 12.29.53;-4,367024;-6,3422403;6,479907
07/11/2020 12.29.53;-4,0557775;-6,281188;6,7947445
07/11/2020 12.29.53;-4,345476;-6,3829417;7,015011
07/11/2020 12.29.53;-4,144363;-5,910087;6,7971387
07/11/2020 12.29.53;-4,2341456;-6,1088057;6,6307416
07/11/2020 12.29.53;-3,751714;-7,043741;6,7265096
07/11/2020 12.29.53;-3,83192;-6,7827735;6,921637
07/11/2020 12.29.53;-3,8762126;-5,8933277;6,3338604
07/11/2020 12.29.53;-3,858256;-6,6546836;6,885724
07/11/2020 12.29.53;-3,525462;-7,1466923;6,477513
07/11/2020 12.29.53;-3,4859576;-8,01459;6,3829417
07/11/2020 12.29.53;-3,276465;-7,728483;5,837064
07/11/2020 12.29.53;-3,0382419;-7,6135616;5,437232
07/11/2020 12.29.53;-3,3734303;-7,606379;6,3781533
07/11/2020 12.29.53;-3,217807;-7,4232225;6,327875
07/11/2020 12.29.53;-3,3291376;-6,7827735;6,227319
07/11/2020 12.29.53;-3,4955344;-7,15986;6,667852
07/11/2020 12.29.53;-3,5877113;-7,252037;6,6905966
07/11/2020 12.29.53;-3,478775;-6,613982;6,2728086
07/11/2020 12.29.53;-3,4691982;-7,1909847;6,3003416
07/11/2020 12.29.53;-3,3291376;-7,6111674;6,3685765
07/11/2020 12.29.53;-3,5924997;-7,642292;6,540959
07/11/2020 12.29.53;-3,0142999;-6,867768;5,9064956
07/11/2020 12.29.53;-3,7373488;-7,669825;6,999449
07/11/2020 12.29.53;-3,739743;-6,5218053;6,43322
07/11/2020 12.29.53;-3,9396589;-6,399701;6,6367273
07/11/2020 12.29.53;-3,1651347;-6,647501;6,3781533
07/11/2020 12.29.53;-3,3554738;-6,9407907;6,3889275
07/11/2020 12.29.53;-3,3159695;-7,3609734;6,537368
